Filename,Formula,Entry prototype,Notes,Num Elements,2c,2a,6h1,6h2,12k
1722762.cif,Cd3Dy10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Dy,Dy,Cd,Dy
1532708.cif,Al3FeLu10,"Cd3Y10Ru,hP28,194",,3,Fe,Lu,Lu,Al,Lu
1532720.cif,Al3Lu10Os,"Cd3Y10Ru,hP28,194",,3,Os,Lu,Lu,Al,Lu
1532718.cif,Al3Lu10Pd,"Cd3Y10Ru,hP28,194",,3,Pd,Lu,Lu,Al,Lu
1532724.cif,Al3Lu10Pt,"Cd3Y10Ru,hP28,194",,3,Pt,Lu,Lu,Al,Lu
1722766.cif,Cd3Lu10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Lu,Lu,Cd,Lu
1722767.cif,Cd3RhY10,"Cd3Y10Ru,hP28,194",,3,Rh,Y,Y,Cd,Y
1532719.cif,Al3OsY10,"Cd3Y10Ru,hP28,194",,3,Os,Y,Y,Al,Y
1722765.cif,Cd3RuTm10,"Cd3Y10Ru,hP28,194",,3,Ru,Tm,Tm,Cd,Tm
1722759.cif,Cd3NiTm10,"Cd3Y10Ru,hP28,194",,3,Ni,Tm,Tm,Cd,Tm
1722758.cif,Cd3Dy10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Dy,Dy,Cd,Dy
1722764.cif,Cd3Er10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Er,Er,Cd,Er
